"fecha","cod_ine","CCAA","total","TMSTAMP"
"2020-03-25",3,"Asturias",25,"2020-03-29 06:29:47 UTC"
"2020-03-26",3,"Asturias",27,"2020-03-29 06:29:47 UTC"
"2020-03-27",3,"Asturias",29,"2020-03-29 06:29:47 UTC"
"2020-03-28",3,"Asturias",33,"2020-03-29 06:29:47 UTC"
"2020-03-03",4,"Baleares",0,"2020-03-29 06:29:47 UTC"
"2020-03-04",4,"Baleares",0,"2020-03-29 06:29:47 UTC"
"2020-03-05",4,"Baleares",0,"2020-03-29 06:29:47 UTC"
"2020-03-06",4,"Baleares",0,"2020-03-29 06:29:47 UTC"
"2020-03-07",4,"Baleares",0,"2020-03-29 06:29:47 UTC"
"2020-03-08",4,"Baleares",0,"2020-03-29 06:29:47 UTC"
"2020-03-09",4,"Baleares",0,"2020-03-29 06:29:47 UTC"
"2020-03-10",4,"Baleares",0,"2020-03-29 06:29:47 UTC"
"2020-03-11",4,"Baleares",0,"2020-03-29 06:29:47 UTC"
"2020-03-12",4,"Baleares",1,"2020-03-29 06:29:47 UTC"
"2020-03-13",4,"Baleares",1,"2020-03-29 06:29:47 UTC"
"2020-03-14",4,"Baleares",1,"2020-03-29 06:29:47 UTC"
"2020-03-15",4,"Baleares",1,"2020-03-29 06:29:47 UTC"
"2020-03-16",4,"Baleares",1,"2020-03-29 06:29:47 UTC"
"2020-03-17",4,"Baleares",1,"2020-03-29 06:29:47 UTC"
"2020-03-18",4,"Baleares",1,"2020-03-29 06:29:47 UTC"
"2020-03-19",4,"Baleares",2,"2020-03-29 06:29:47 UTC"
"2020-03-20",4,"Baleares",2,"2020-03-29 06:29:47 UTC"
"2020-03-21",4,"Baleares",4,"2020-03-29 06:29:47 UTC"
"2020-03-22",4,"Baleares",4,"2020-03-29 06:29:47 UTC"
"2020-03-23",4,"Baleares",10,"2020-03-29 06:29:47 UTC"
"2020-03-24",4,"Baleares",10,"2020-03-29 06:29:47 UTC"
"2020-03-25",4,"Baleares",13,"2020-03-29 06:29:47 UTC"
"2020-03-26",4,"Baleares",17,"2020-03-29 06:29:47 UTC"
"2020-03-27",4,"Baleares",22,"2020-03-29 06:29:47 UTC"
"2020-03-28",4,"Baleares",26,"2020-03-29 06:29:47 UTC"
"2020-03-03",5,"Canarias",0,"2020-03-29 06:29:47 UTC"
"2020-03-04",5,"Canarias",0,"2020-03-29 06:29:47 UTC"
"2020-03-05",5,"Canarias",0,"2020-03-29 06:29:47 UTC"
"2020-03-06",5,"Canarias",0,"2020-03-29 06:29:47 UTC"
"2020-03-07",5,"Canarias",0,"2020-03-29 06:29:47 UTC"
"2020-03-08",5,"Canarias",0,"2020-03-29 06:29:47 UTC"
"2020-03-09",5,"Canarias",0,"2020-03-29 06:29:47 UTC"
"2020-03-10",5,"Canarias",0,"2020-03-29 06:29:47 UTC"
"2020-03-11",5,"Canarias",0,"2020-03-29 06:29:47 UTC"
"2020-03-12",5,"Canarias",0,"2020-03-29 06:29:47 UTC"
"2020-03-13",5,"Canarias",0,"2020-03-29 06:29:47 UTC"
"2020-03-14",5,"Canarias",1,"2020-03-29 06:29:47 UTC"
"2020-03-15",5,"Canarias",1,"2020-03-29 06:29:47 UTC"
"2020-03-16",5,"Canarias",1,"2020-03-29 06:29:47 UTC"
"2020-03-17",5,"Canarias",2,"2020-03-29 06:29:47 UTC"
"2020-03-18",5,"Canarias",3,"2020-03-29 06:29:47 UTC"
"2020-03-19",5,"Canarias",3,"2020-03-29 06:29:47 UTC"
"2020-03-20",5,"Canarias",4,"2020-03-29 06:29:47 UTC"
"2020-03-21",5,"Canarias",7,"2020-03-29 06:29:47 UTC"
"2020-03-22",5,"Canarias",9,"2020-03-29 06:29:47 UTC"
"2020-03-23",5,"Canarias",11,"2020-03-29 06:29:47 UTC"
"2020-03-24",5,"Canarias",16,"2020-03-29 06:29:47 UTC"
"2020-03-25",5,"Canarias",21,"2020-03-29 06:29:47 UTC"
"2020-03-26",5,"Canarias",24,"2020-03-29 06:29:47 UTC"
"2020-03-27",5,"Canarias",27,"2020-03-29 06:29:47 UTC"
"2020-03-28",5,"Canarias",36,"2020-03-29 06:29:47 UTC"
"2020-03-03",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-04",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-05",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-06",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-07",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-08",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-09",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-10",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-11",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-12",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-13",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-14",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-15",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-16",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-17",6,"Cantabria",0,"2020-03-29 06:29:47 UTC"
"2020-03-18",6,"Cantabria",1,"2020-03-29 06:29:47 UTC"
"2020-03-19",6,"Cantabria",1,"2020-03-29 06:29:47 UTC"
"2020-03-20",6,"Cantabria",1,"2020-03-29 06:29:47 UTC"
"2020-03-21",6,"Cantabria",2,"2020-03-29 06:29:47 UTC"
"2020-03-22",6,"Cantabria",5,"2020-03-29 06:29:47 UTC"
"2020-03-23",6,"Cantabria",6,"2020-03-29 06:29:47 UTC"
"2020-03-24",6,"Cantabria",9,"2020-03-29 06:29:47 UTC"
"2020-03-25",6,"Cantabria",14,"2020-03-29 06:29:47 UTC"
"2020-03-26",6,"Cantabria",17,"2020-03-29 06:29:47 UTC"
"2020-03-27",6,"Cantabria",21,"2020-03-29 06:29:47 UTC"
"2020-03-28",6,"Cantabria",22,"2020-03-29 06:29:47 UTC"
"2020-03-03",8,"Castilla-La Mancha",0,"2020-03-29 06:29:47 UTC"
